author	title	source	in collection	translator			sorted out	identifier
Algernon Blackwood	The Willows	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories				False	129
Mary E. Wilkins Freeman	The Shadows on the Wall	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories				False	130
Robert W. Chambers	The Messenger	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories				False	131
Leonid Andreyev	Lazarus	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories	Abraham Yarmolinsky			False	132
W. F. Harvey	The Beast with Five Fingers	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories				False	133
Anatole France	The Mass of Shadows	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories				False	134
Fitz-James O'Brien	What Was It?	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories				False	135
Ambrose Bierce	The Middle Toe of the Right Foot	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories				False	136
Olivia Howard Dunbar	The Shell of Sense	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories				False	137
Wilbur Daniel Steele	The Woman at Seven Brothers	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories				False	138
Myla Jo Closser	At the Gate	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories				False	139
Edgar Allan Poe	Ligeia	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories				False	140
Richard Le Gallienne	The Haunted Orchard	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories				False	141
Arthur Machen	The Bowmen	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories				False	142
Guy De Maupassant	A Ghost	https://www.gutenberg.org/ebooks/15143	Famous Modern Ghost Stories	M. Charles Sommer			False	143
Ray Bradbury	The Creatures That Time Forgot	https://www.gutenberg.org/ebooks/63874					False	144
Philip K. Dick	Beyond the Door	https://www.gutenberg.org/ebooks/28644					False	145
Thomas Michael Disch	The Demi-Urge	https://www.gutenberg.org/ebooks/30911					False	146
Margaret St. Clair	Return Engagement	https://www.gutenberg.org/ebooks/65769					False	147
Manly Wade Wellman	The Golgotha Dancers	https://www.gutenberg.org/ebooks/32580					False	148
David Lindsay	A Voyage to Arcturus	https://www.gutenberg.org/ebooks/1329					False	149
Frank Belknap Long	The Man from Time	https://www.gutenberg.org/ebooks/29418					False	150
Catherine Lucille Moore	The Tree of Life	https://www.gutenberg.org/ebooks/32850					False	176
Robert Bloch	This Crowded Earth	https://www.gutenberg.org/ebooks/25776					False	177
Seabury Quinn	Pledged to the Dead	https://www.gutenberg.org/ebooks/32514					False	178
Donald Wandrei	Raiders of the Universes	https://www.gutenberg.org/ebooks/29389					False	179
August Derleth	A Traveler in Time	https://www.gutenberg.org/ebooks/40953					False	180
Carl R. Jacobi	Made in Tanganyika	https://www.gutenberg.org/ebooks/29242					False	181
Jules Verne	A Journey to the Centre of the Earth	https://www.gutenberg.org/ebooks/18857					False	182
Control Group								
Jane Austen	Pride and Prejudice	https://www.gutenberg.org/ebooks/1342					False	151
Lewis Caroll	Alice's Adventures in Wonderland	https://www.gutenberg.org/ebooks/11					False	152
Arthur Conan Doyle	A Scandal in Bohemia		The Adventures of Sherlock Holmes				False	153
Herman Melville	Moby Dick; or, The Whale	https://www.gutenberg.org/ebooks/2701					False	154
Nicolo Machiavelli	The Prince	https://www.gutenberg.org/ebooks/1232		W. K. Marriott			False	155
Oscar Wilde	The Picture of Dorian Gray	https://www.gutenberg.org/ebooks/174					False	156
Charles Dickens	A Tale Of Two Cities	https://www.gutenberg.org/ebooks/98					False	157
F. Scott Fitzgerald	The Great Gatsby	https://www.gutenberg.org/ebooks/64317					False	158
Nathaniel Hawthorne	The Scarlet Letter	https://www.gutenberg.org/ebooks/25344					False	159
Charlotte Perkins Gilman	The Yellow Wallpaper	https://www.gutenberg.org/ebooks/1952					False	160
Jacob Grimm and Wilhelm Grimm	HANS IN LUCK	https://www.gutenberg.org/ebooks/2591	Grimms’ Fairy Tales	Edgar Taylor and Marian Edwardes			False	161
Homer	The Iliad	https://www.gutenberg.org/ebooks/6130		Alexander Pope			False	162
Charlotte Brontë	Jane Eyre	https://www.gutenberg.org/ebooks/1260					False	163
